,id,sex,Tribe,Genus,Species,sub-species,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,Perimeter,doresal/ventral,Anterior/Posterior,left/right,sub/Family,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,genotype,phenotype,sex-phenotype
24,108,f,Ithomiinae,Melinaea,marsaeus,phasiana,1099676.0,1739.5557,1802,131.0808,1334532226404,1745842875769870,2413662629772020224,0.61133,0.64738,0.67546,4764.5163,d,Ant,d,Ithomiinae,850.5435,932.0,-20.31,240163532805.0,143330621532359.0,9.30722124924606e+16,0.50142,0.54401,0.57873,,,
25,108,f,Ithomiinae,Melinaea,marsaeus,phasiana,1101088.0,1732.5623,1798,147.4413,1340622389293,1754662310337600,2426380456012469760,0.61369,0.64963,0.67763,4858.9427,d,Ant,g,Ithomiinae,853.5465,939.0,-6.0863,244282585505.0,146572320403753.0,9.55892577493495e+16,0.50161,0.54376,0.57807,,,
26,108,f,Ithomiinae,Melinaea,marsaeus,phasiana,753233.0,1275.7225,1295,79.5646,403137293019,365417698525457,354076105595291008,0.56493,0.60676,0.6394,3946.64,,,,,,,,,,,,,,,,
27,108,f,Ithomiinae,Melinaea,marsaeus,phasiana,720286.0,1229.9601,1249,97.83,356863395712,311871711704222,291566177562734016,0.56355,0.60571,0.63862,3956.8309,,,,,,,,,,,,,,,,
28,108,f,Ithomiinae,Melinaea,marsaeus,phasiana,1100244.0,1732.7291,1795,149.4714,1337360459423,1749317859048220,2417405499220550144,0.61421,0.65022,0.67827,4802.7417,v,Ant,d,Ithomiinae,852.5786,937.0,-10.5087,243449103279.0,145843807580955.0,9.49420361170872e+16,0.50202,0.54416,0.57843,,,
29,108,f,Ithomiinae,Melinaea,marsaeus,phasiana,1099807.0,1741.3527,1802,134.0066,1333355726323,1744058955489310,2410886906199490048,0.61103,0.64713,0.67524,4788.8838,v,Ant,g,Ithomiinae,849.9071,932.0,-19.6633,239497633643.0,142759353180497.0,9.258962776844e+16,0.5007,0.54327,0.57796,,,
30,108,f,Ithomiinae,Melinaea,marsaeus,phasiana,722453.0,1230.1109,1249,99.8636,356917304924,311717244716472,291287415665393984,0.56275,0.605,0.63799,4003.4999,,,,,,,,,,,,,,,,
31,108,f,Ithomiinae,Melinaea,marsaeus,phasiana,753341.0,1275.9308,1297,91.8872,402843994940,365095180256792,353734786156611968,0.56381,0.60562,0.63824,3937.6522,,,,,,,,,,,,,,,,
32,153,f,Ithomiinae,Melinaea,marsaeus,phasiana,978258.0,1643.5042,1704,142.9887,1080524580534,1346329250104820,1772552505425939968,0.61677,0.65277,0.68087,4545.1193,d,Ant,d,Ithomiinae,792.9055,866.0,19.6925,189628820856.0,105809665765272.0,6.3977938820193e+16,0.5084,0.55018,0.58395,,,
33,153,f,Ithomiinae,Melinaea,marsaeus,phasiana,987711.0,1691.7003,1806,136.0223,1259912226895,1667234793125780,2327080507919529984,0.62537,0.65928,0.68601,4957.2442,d,Ant,g,Ithomiinae,780.5066,856.0,13.7026,187937852306.0,103587394770018.0,6.18322630973472e+16,0.50959,0.55092,0.58435,,,
