,id,sex,genotype,phenotype_x,Perimeter,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,phenotype_y,Tribe,Genus,Species,sub-species,doresal/ventral,Anterior/Posterior,left/right,sub/Family,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,phenotype,sex-phenotype
29,742,m,s-s,silvana,4648.3498,731799,1157.1963,1147,-19.5067,3.079E+11,2.50086E+14,2.18E+17,0.56552,0.60954,0.64398,silvana,,,,,,,,,,,,,,,,,,,
30,742,m,s-s,silvana,4617.428,1099084,1789.8597,1839,58.0554,1.28682E+12,1.68471E+15,2.34E+18,0.58839,0.62697,0.65719,silvana,,,,,,,,,,,,,,,,,,,
31,742,m,s-s,silvana,4617.428,731799,1157.1963,1147,-19.5067,3.079E+11,2.50086E+14,2.18E+17,0.56552,0.60954,0.64398,silvana,,,,,,,,,,,,,,,,,,,
32,755,f,a-e,elegans,4908.3569,1018165,1671.0457,1729,104.6061,1.07863E+12,1.3337E+15,1.75E+18,0.5953,0.63283,0.66226,elegans,,,,,,,,,,,,,,,,,,,
33,755,f,a-e,elegans,4908.3569,663348,1136.6787,1133,-37.6066,2.77111E+11,2.22783E+14,1.92E+17,0.57046,0.6135,0.64708,elegans,,,,,,,,,,,,,,,,,,,
34,755,f,a-e,elegans,4969.8788,1018165,1671.0457,1729,104.6061,1.07863E+12,1.3337E+15,1.75E+18,0.5953,0.63283,0.66226,elegans,,,,,,,,,,,,,,,,,,,
35,755,f,a-e,elegans,4969.8788,663348,1136.6787,1133,-37.6066,2.77111E+11,2.22783E+14,1.92E+17,0.57046,0.6135,0.64708,elegans,,,,,,,,,,,,,,,,,,,
36,759,m,e-s,elegans,4665.7224,1152681,1763.898,1795,-131.4415,1.038E+12,1.26525E+15,1.67E+18,0.52866,0.57468,0.61129,elegans,,,,,,,,,,,,,,,,,,,
37,759,m,e-s,elegans,4665.7224,781256,1181.4045,1169,-22.898,3.40883E+11,2.82229E+14,2.51E+17,0.56506,0.60924,0.64377,elegans,,,,,,,,,,,,,,,,,,,
38,759,m,e-s,elegans,4860.4503,1152681,1763.898,1795,-131.4415,1.038E+12,1.26525E+15,1.67E+18,0.52866,0.57468,0.61129,elegans,,,,,,,,,,,,,,,,,,,
39,759,m,e-s,elegans,4860.4503,781256,1181.4045,1169,-22.898,3.40883E+11,2.82229E+14,2.51E+17,0.56506,0.60924,0.64377,elegans,,,,,,,,,,,,,,,,,,,
40,760,f,a-s,aurora,5104.097,1004786,1677.3017,1760,88.6948,1.11328E+12,1.39965E+15,1.87E+18,0.59807,0.63456,0.66325,aurora,,,,,,,,,,,,,,,,,,,
41,760,f,a-s,aurora,5104.097,648724,1140.2274,1117,-36.0163,2.59057E+11,2.05729E+14,1.75E+17,0.56574,0.61051,0.6453,aurora,,,,,,,,,,,,,,,,,,,
42,760,f,a-s,aurora,4853.563,1004786,1677.3017,1760,88.6948,1.11328E+12,1.39965E+15,1.87E+18,0.59807,0.63456,0.66325,aurora,,,,,,,,,,,,,,,,,,,
43,760,f,a-s,aurora,4853.563,648724,1140.2274,1117,-36.0163,2.59057E+11,2.05729E+14,1.75E+17,0.56574,0.61051,0.6453,aurora,,,,,,,,,,,,,,,,,,,
44,771,m,a-e,elegans,5116.4057,998774,1661.5032,1704,78.4225,1.03593E+12,1.2697E+15,1.65E+18,0.59767,0.63573,0.6655,elegans,,,,,,,,,,,,,,,,,,,
45,771,m,a-e,elegans,5116.4057,694491,1115.3013,1130,-7.4249,2.89517E+11,2.31245E+14,1.98E+17,0.57138,0.61337,0.64638,elegans,,,,,,,,,,,,,,,,,,,
46,771,m,a-e,elegans,4827.0777,998774,1661.5032,1704,78.4225,1.03593E+12,1.2697E+15,1.65E+18,0.59767,0.63573,0.6655,elegans,,,,,,,,,,,,,,,,,,,
47,771,m,a-e,elegans,4827.0777,694491,1115.3013,1130,-7.4249,2.89517E+11,2.31245E+14,1.98E+17,0.57138,0.61337,0.64638,elegans,,,,,,,,,,,,,,,,,,,
48,772,m,a-s,aurora,4896.7346,1147545,1786.3909,1821,85.1583,1.32439E+12,1.72404E+15,2.39E+18,0.58995,0.62895,0.65939,aurora,,,,,,,,,,,,,,,,,,,
49,772,m,a-s,aurora,4896.7346,786552,1186.2501,1176,29.0524,3.47529E+11,2.88884E+14,2.57E+17,0.56523,0.60896,0.64303,aurora,,,,,,,,,,,,,,,,,,,
50,772,m,a-s,aurora,4619.6462,1147545,1786.3909,1821,85.1583,1.32439E+12,1.72404E+15,2.39E+18,0.58995,0.62895,0.65939,aurora,,,,,,,,,,,,,,,,,,,
51,772,m,a-s,aurora,4619.6462,786552,1186.2501,1176,29.0524,3.47529E+11,2.88884E+14,2.57E+17,0.56523,0.60896,0.64303,aurora,,,,,,,,,,,,,,,,,,,
52,773,m,s-s,silvana,4819.1854,1080669,1710.0495,1740,71.3975,1.14794E+12,1.43227E+15,1.90E+18,0.59233,0.63129,0.6617,silvana,,,,,,,,,,,,,,,,,,,
53,773,m,s-s,silvana,4819.1854,732565,1140.6919,1143,18.7965,2.96207E+11,2.36098E+14,2.02E+17,0.55632,0.59984,0.63372,silvana,,,,,,,,,,,,,,,,,,,
54,773,m,s-s,silvana,4563.2371,1080669,1710.0495,1740,71.3975,1.14794E+12,1.43227E+15,1.90E+18,0.59233,0.63129,0.6617,silvana,,,,,,,,,,,,,,,,,,,
55,773,m,s-s,silvana,4563.2371,732565,1140.6919,1143,18.7965,2.96207E+11,2.36098E+14,2.02E+17,0.55632,0.59984,0.63372,silvana,,,,,,,,,,,,,,,,,,,
56,788,f,a-s,aurora,4863.8645,1004592,1654.85,1713,90.8145,1.05273E+12,1.29231E+15,1.68E+18,0.59759,0.63489,0.66411,aurora,,,,,,,,,,,,,,,,,,,
57,788,f,a-s,aurora,4863.8645,635782,1149.2923,1135,-76.3781,2.72715E+11,2.22267E+14,1.94E+17,0.57704,0.62067,0.6548,aurora,,,,,,,,,,,,,,,,,,,
58,788,f,a-s,aurora,4776.5924,1004592,1654.85,1713,90.8145,1.05273E+12,1.29231E+15,1.68E+18,0.59759,0.63489,0.66411,aurora,,,,,,,,,,,,,,,,,,,
59,788,f,a-s,aurora,4776.5924,635782,1149.2923,1135,-76.3781,2.72715E+11,2.22267E+14,1.94E+17,0.57704,0.62067,0.6548,aurora,,,,,,,,,,,,,,,,,,,
60,789,m,a-s,aurora,4846.4675,1046449,1693.1516,1737,50.9777,1.12068E+12,1.39824E+15,1.85E+18,0.59577,0.6341,0.66413,aurora,,,,,,,,,,,,,,,,,,,
61,789,m,a-s,aurora,4846.4675,726120,1150.9115,1145,-63.8715,3.11965E+11,2.54552E+14,2.23E+17,0.57246,0.61582,0.6498,aurora,,,,,,,,,,,,,,,,,,,
62,789,m,a-s,aurora,4754.2808,1046449,1693.1516,1737,50.9777,1.12068E+12,1.39824E+15,1.85E+18,0.59577,0.6341,0.66413,aurora,,,,,,,,,,,,,,,,,,,
63,789,m,a-s,aurora,4754.2808,726120,1150.9115,1145,-63.8715,3.11965E+11,2.54552E+14,2.23E+17,0.57246,0.61582,0.6498,aurora,,,,,,,,,,,,,,,,,,,
64,790,m,a-e,elegans,4945.2026,1202555,1789.8832,1840,105.352,1.43117E+12,1.88484E+15,2.64E+18,0.59289,0.6313,0.66141,elegans,,,,,,,,,,,,,,,,,,,
65,790,m,a-e,elegans,4945.2026,817911,1203.2523,1195,-83.5004,3.82969E+11,3.26182E+14,2.98E+17,0.57261,0.61596,0.64989,elegans,,,,,,,,,,,,,,,,,,,
66,790,m,a-e,elegans,4906.3641,1202555,1789.8832,1840,105.352,1.43117E+12,1.88484E+15,2.64E+18,0.59289,0.6313,0.66141,elegans,,,,,,,,,,,,,,,,,,,
