,id,sex,Perimeter,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,Tribe,Genus,Species,sub-species,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,sex-phenotype
35,755,f,4969.8788,663348.0,1136.6787,1133,-37.6066,277110987983,222783159247011,1.9163820513053e+17,0.57046,0.6135,0.64708,,,,,,,,,,,,,,
36,759,m,4665.7224,1152681.0,1763.898,1795,-131.4415,1037996539712,1265250883804280,1.67096852908962e+18,0.52866,0.57468,0.61129,,,,,,,,,,,,,,
37,759,m,4665.7224,781256.0,1181.4045,1169,-22.898,340882547545,282229119348565,2.5059650158607e+17,0.56506,0.60924,0.64377,,,,,,,,,,,,,,
38,759,m,4860.4503,1152681.0,1763.898,1795,-131.4415,1037996539712,1265250883804280,1.67096852908962e+18,0.52866,0.57468,0.61129,,,,,,,,,,,,,,
39,759,m,4860.4503,781256.0,1181.4045,1169,-22.898,340882547545,282229119348565,2.5059650158607e+17,0.56506,0.60924,0.64377,,,,,,,,,,,,,,
40,760,f,5104.097,1004786.0,1677.3017,1760,88.6948,1113280928536,1399651783986980,1.86567597350703e+18,0.59807,0.63456,0.66325,,,,,,,,,,,,,,
41,760,f,5104.097,648724.0,1140.2274,1117,-36.0163,259057091134,205728571811840,1.75115972230086e+17,0.56574,0.61051,0.6453,,,,,,,,,,,,,,
42,760,f,4853.563,1004786.0,1677.3017,1760,88.6948,1113280928536,1399651783986980,1.86567597350703e+18,0.59807,0.63456,0.66325,,,,,,,,,,,,,,
43,760,f,4853.563,648724.0,1140.2274,1117,-36.0163,259057091134,205728571811840,1.75115972230086e+17,0.56574,0.61051,0.6453,,,,,,,,,,,,,,
44,771,m,5116.4057,998774.0,1661.5032,1704,78.4225,1035930465635,1269701943898650,1.65176078562571e+18,0.59767,0.63573,0.6655,,,,,,,,,,,,,,
45,771,m,5116.4057,694491.0,1115.3013,1130,-7.4249,289516524009,231245494762557,1.97665442441705e+17,0.57138,0.61337,0.64638,,,,,,,,,,,,,,
46,771,m,4827.0777,998774.0,1661.5032,1704,78.4225,1035930465635,1269701943898650,1.65176078562571e+18,0.59767,0.63573,0.6655,,,,,,,,,,,,,,
47,771,m,4827.0777,694491.0,1115.3013,1130,-7.4249,289516524009,231245494762557,1.97665442441705e+17,0.57138,0.61337,0.64638,,,,,,,,,,,,,,
48,772,m,4896.7346,1147545.0,1786.3909,1821,85.1583,1324392229880,1724043979410960,2.38549866034018e+18,0.58995,0.62895,0.65939,,,,,,,,,,,,,,
49,772,m,4896.7346,786552.0,1186.2501,1176,29.0524,347529283099,288884470284637,2.57207580047465e+17,0.56523,0.60896,0.64303,,,,,,,,,,,,,,
50,772,m,4619.6462,1147545.0,1786.3909,1821,85.1583,1324392229880,1724043979410960,2.38549866034018e+18,0.58995,0.62895,0.65939,,,,,,,,,,,,,,
51,772,m,4619.6462,786552.0,1186.2501,1176,29.0524,347529283099,288884470284637,2.57207580047465e+17,0.56523,0.60896,0.64303,,,,,,,,,,,,,,
52,773,m,4819.1854,1080669.0,1710.0495,1740,71.3975,1147936666523,1432266524367200,1.89906462181958e+18,0.59233,0.63129,0.6617,,,,,,,,,,,,,,
53,773,m,4819.1854,732565.0,1140.6919,1143,18.7965,296207035147,236097691754531,2.01655470046656e+17,0.55632,0.59984,0.63372,,,,,,,,,,,,,,
54,773,m,4563.2371,1080669.0,1710.0495,1740,71.3975,1147936666523,1432266524367200,1.89906462181958e+18,0.59233,0.63129,0.6617,,,,,,,,,,,,,,
55,773,m,4563.2371,732565.0,1140.6919,1143,18.7965,296207035147,236097691754531,2.01655470046656e+17,0.55632,0.59984,0.63372,,,,,,,,,,,,,,
56,788,f,4863.8645,1004592.0,1654.85,1713,90.8145,1052727832012,1292312314409020,1.68255137606055e+18,0.59759,0.63489,0.66411,,,,,,,,,,,,,,
57,788,f,4863.8645,635782.0,1149.2923,1135,-76.3781,272714816000,222267326302148,1.93970659314059e+17,0.57704,0.62067,0.6548,,,,,,,,,,,,,,
58,788,f,4776.5924,1004592.0,1654.85,1713,90.8145,1052727832012,1292312314409020,1.68255137606055e+18,0.59759,0.63489,0.66411,,,,,,,,,,,,,,
59,788,f,4776.5924,635782.0,1149.2923,1135,-76.3781,272714816000,222267326302148,1.93970659314059e+17,0.57704,0.62067,0.6548,,,,,,,,,,,,,,
60,789,m,4846.4675,1046449.0,1693.1516,1737,50.9777,1120677660773,1398236258914530,1.85321403569076e+18,0.59577,0.6341,0.66413,,,,,,,,,,,,,,
61,789,m,4846.4675,726120.0,1150.9115,1145,-63.8715,311964505913,254551912508401,2.22513018541672e+17,0.57246,0.61582,0.6498,,,,,,,,,,,,,,
62,789,m,4754.2808,1046449.0,1693.1516,1737,50.9777,1120677660773,1398236258914530,1.85321403569076e+18,0.59577,0.6341,0.66413,,,,,,,,,,,,,,
63,789,m,4754.2808,726120.0,1150.9115,1145,-63.8715,311964505913,254551912508401,2.22513018541672e+17,0.57246,0.61582,0.6498,,,,,,,,,,,,,,
64,790,m,4945.2026,1202555.0,1789.8832,1840,105.352,1431166823199,1884837303637010,2.63790245760305e+18,0.59289,0.6313,0.66141,,,,,,,,,,,,,,
65,790,m,4945.2026,817911.0,1203.2523,1195,-83.5004,382969191525,326181642467423,2.97533644716002e+17,0.57261,0.61596,0.64989,,,,,,,,,,,,,,
66,790,m,4906.3641,1202555.0,1789.8832,1840,105.352,1431166823199,1884837303637010,2.63790245760305e+18,0.59289,0.6313,0.66141,,,,,,,,,,,,,,
67,790,m,4906.3641,817911.0,1203.2523,1195,-83.5004,382969191525,326181642467423,2.97533644716002e+17,0.57261,0.61596,0.64989,,,,,,,,,,,,,,
68,791,m,4752.2421,1170141.0,1790.8376,1835,131.5304,1371734441177,1796642088690810,2.50101399473207e+18,0.59004,0.62869,0.65892,,,,,,,,,,,,,,
69,791,m,4752.2421,815220.0,1221.815,1208,29.3167,395400135962,342173723471700,3.1687783790337e+17,0.57652,0.61981,0.65364,,,,,,,,,,,,,,
70,791,m,4669.1437,1170141.0,1790.8376,1835,131.5304,1371734441177,1796642088690810,2.50101399473207e+18,0.59004,0.62869,0.65892,,,,,,,,,,,,,,
71,791,m,4669.1437,815220.0,1221.815,1208,29.3167,395400135962,342173723471700,3.1687783790337e+17,0.57652,0.61981,0.65364,,,,,,,,,,,,,,
72,792,f,4678.8351,1013016.0,1692.4424,1731,-45.4198,823638705298,961100171216412,1.2193498133107e+18,0.52091,0.56766,0.60511,,,,,,,,,,,,,,
73,792,f,4678.8351,655786.0,1160.0379,1143,1.4962,285317085144,234000507256246,2.05275808751931e+17,0.57708,0.62054,0.65441,,,,,,,,,,,,,,
74,792,f,4843.227,1013016.0,1692.4424,1731,-45.4198,823638705298,961100171216412,1.2193498133107e+18,0.52091,0.56766,0.60511,,,,,,,,,,,,,,
75,792,f,4843.227,655786.0,1160.0379,1143,1.4962,285317085144,234000507256246,2.05275808751931e+17,0.57708,0.62054,0.65441,,,,,,,,,,,,,,
